x,y,beta, gamma, rx, ry
0,0,94.6792, 78.7115, 175.592, 343.569
0,1,97.8556, 81.9449, 188.951, 333.416
0,2,103.961, 79.9711, 196.065, 312.773
0,3,107.859, 78.2388, 198.18, 298.811
0,4,114.539, 79.281, 208.963, 275.046
0,5,119.946, 77.9546, 211.483, 255.939
0,6,124.728, 75.9853, 210.361, 239.515
0,7,129.436, 75.3941, 210.542, 222.337
0,8,134.657, 74.2417, 207.994, 203.584
0,9,139.821, 72.7222, 203.267, 186.603
1,0,93.8849, 89.1724, 196.959, 346.284
1,1,98.0751, 88.1021, 202.903, 331.449
1,2,103.122, 86.9032, 209.565, 314.145
1,3,108.354, 84.4832, 212.414, 295.537
1,4,114.317, 84.2165, 219.39, 273.17
1,5,119.787, 83.2546, 222.598, 252.528
1,6,124.782, 81.9539, 222.895, 234.111
1,7,129.592, 80.2622, 220.292, 216.731
1,8,135.004, 78.7209, 216.581, 197.257
1,9,140.155, 76.5741, 210.427, 180.34
2,0,93.5469, 99.5416, 218.78, 344.313
2,1,97.5822, 97.5868, 222.671, 329.907
2,2,103.32, 94.1264, 225.794, 310.164
2,3,108.449, 90.807, 226.501, 291.855
2,4,114.116, 90.2749, 232.069, 269.341
2,5,119.633, 89.2206, 234.859, 247.771
2,6,125.033, 87.8313, 234.292, 226.67
2,7,130.115, 85.6274, 230.604, 208.241
2,8,135.331, 83.9972, 226.21, 188.891
2,9,139.353, 81.8529, 220.596, 175.581
3,0,92.7875, 111.236, 242.502, 339.809
3,1,96.4574, 108.099, 242.729, 326.875
3,2,102.046, 102.256, 240.775, 309.164
3,3,108.148, 98.5269, 241.746, 286.739
3,4,114.461, 96.9284, 245.723, 261.406
3,5,120.08, 95.3562, 246.701, 238.542
3,6,125.737, 93.8686, 245.581, 215.954
3,7,130.979, 91.424, 240.708, 196.449
3,8,136.082, 89.4776, 235.24, 177.564
3,9,140.986, 86.2283, 226.771, 162.807
4,0,91.2169, 123.763, 264.323, 333.345
4,1,95.7928, 117.552, 260.706, 320.818
4,2,102.064, 110.054, 256.483, 301.632
4,3,108.372, 106.198, 256.922, 277.591
4,4,115.468, 103.433, 258.575, 248.914
4,5,121.361, 101.44, 258.483, 224.7
4,6,127.252, 99.2464, 254.805, 201.234
4,7,132.691, 97.129, 249.358, 179.88
4,8,136.672, 95.8578, 244.8, 164.585
4,9,140.471, 92.7641, 237.223, 153.613
5,0,94.3894, 125.167, 273.533, 317.442
5,1,98.0393, 120.498, 270.849, 307.24
5,2,103.399, 115.066, 268.313, 289.494
5,3,109.705, 112.092, 269.469, 263.917
5,4,116.787, 109.279, 269.318, 234.365
5,5,123.561, 106.67, 266.717, 206.209
5,6,129.01, 104.655, 262.199, 183.86
5,7,133.476, 103.999, 257.864, 163.965
5,8,137.882, 101.927, 250.493, 147.932
5,9,141.393, 99.039, 243.685, 138.401
6,0,95.6157, 130.326, 284.976, 303.683
6,1,100.081, 124.582, 281.029, 291.137
6,2,105.254, 120.59, 279.874, 272.253
6,3,112.17, 116.946, 279.302, 244.375
6,4,118.908, 114.437, 278.357, 215.472
6,5,124.322, 113.323, 275.881, 190.736
6,6,129.342, 112.371, 271.276, 167.674
6,7,134.043, 111.438, 265.042, 146.751
6,8,138.924, 109.238, 256.49, 128.535
6,9,142.415, 106.522, 249.093, 119.372
7,0,98.9188, 131.53, 291.775, 285.338
7,1,103.248, 127.517, 290.019, 270.644
7,2,107.314, 126.276, 291.362, 252.238
7,3,113.22, 122.524, 288.153, 229.172
7,4,119.413, 120.932, 286.412, 200.591
7,5,124.412, 120.818, 284.298, 175.493
7,6,129.3, 120.407, 279.195, 151.791
7,7,134.146, 119.467, 271.685, 129.588
7,8,138.833, 118.304, 262.28, 109.706
7,9,142.161, 116.332, 256.009, 99.3302
8,0,101.453, 133.109, 297.077, 269.673
8,1,105.199, 130.476, 296.485, 255.406
8,2,109.372, 128.319, 295.771, 237.848
8,3,114.001, 128.004, 295.951, 214.505
8,4,119.295, 127.633, 294.283, 187.733
8,5,123.749, 128.469, 292.054, 162.821
8,6,128.438, 127.972, 286.279, 139.934
8,7,133.601, 127.403, 276.74, 114.964
8,8,138.606, 128.724, 266.225, 87.2233
8,9,141.906, 126.972, 259.214, 76.3988
9,0,102.23, 136.466, 302.697, 259.204
9,1,106.126, 134.674, 302.964, 242.227
9,2,110.238, 132.353, 301.85, 225.606
9,3,114.01, 133.177, 302.54, 203.936
9,4,118.597, 132.964, 300.54, 180.297
9,5,123.701, 131.1, 294.239, 157.464
9,6,128.154, 132.359, 288.993, 131.463
9,7,132.495, 133.286, 281.701, 107.099
9,8,137.489, 133.102, 270.498, 82.7788
9,9,142.256, 130.423, 259.07, 67.3138
