x,y,beta, gamma, rx, ry
0,0,135.727, 71.2015, 201.992, 202.267
0,1,138.294, 71.8703, 202.395, 192.171
0,2,139.592, 74.2617, 206.602, 184.454
0,3,142.053, 74.4569, 205.751, 176.578
0,4,142.575, 78.0013, 211.876, 169.68
0,5,142.742, 82.3146, 219.201, 162.223
0,6,142.913, 87.0764, 226.644, 153.854
0,7,143.179, 91.861, 233.128, 144.841
0,8,143.367, 96.9426, 239.284, 134.828
0,9,143.481, 102.644, 244.732, 123.104
0,10,143.31, 109.411, 250.373, 109.726
0,11,143.304, 117.119, 254.5, 92.9203
0,12,143.203, 123.602, 256.701, 78.7968
0,13,143.148, 129.013, 257.447, 66.4073
0,14,142.965, 132.807, 257.335, 58.5203
1,0,133.564, 72.6325, 205.121, 209.138
1,1,135.334, 73.9324, 207.744, 201.019
1,2,137.13, 75.5668, 210.046, 192.611
1,3,138.59, 78.1372, 214.466, 184.199
1,4,139.595, 80.7059, 218.866, 176.324
1,5,140.126, 84.5002, 224.848, 168.173
1,6,140.448, 89.1023, 232.203, 159.424
1,7,140.638, 93.9913, 238.86, 150.476
1,8,140.791, 99.2672, 245.039, 140.009
1,9,141.057, 105.691, 250.647, 126.392
1,10,141.015, 112.969, 256.649, 111.345
1,11,141.545, 118.719, 258.323, 96.6999
1,12,141.158, 128.54, 260.989, 76.0648
1,13,141.458, 129.867, 261.388, 71.7741
1,14,140.388, 134.419, 263.338, 65.7065
2,0,130.377, 72.6585, 205.446, 221.278
2,1,131.794, 74.4688, 208.727, 214.032
2,2,133.443, 77.5, 214.661, 204.62
2,3,134.901, 80.1872, 220.31, 195.929
2,4,135.942, 83.0759, 225.147, 187.71
2,5,137.116, 85.8498, 228.821, 178.579
2,6,137.525, 90.2605, 235.764, 169.819
2,7,137.75, 95.1859, 242.836, 160.499
2,8,138.07, 100.936, 249.757, 148.576
2,9,138.733, 106.671, 255.162, 134.343
2,10,138.935, 113.162, 260.232, 119.865
2,11,139.031, 120.666, 264.39, 103.309
2,12,138.139, 128.54, 268.691, 89.8635
2,13,138.747, 133.077, 267.211, 76.9896
2,14,137.579, 134.905, 270.487, 78.0135
3,0,127.143, 73.3376, 205.583, 232.61
3,1,127.4, 75.3335, 209.818, 229.972
3,2,128.806, 78.4391, 216.502, 221.722
3,3,130.706, 80.7519, 221.913, 211.943
3,4,132.174, 83.816, 227.103, 202.08
3,5,132.836, 87.4391, 233.455, 194.221
3,6,133.919, 90.9905, 239.451, 184.121
