x,y,r,g,b
0,0,0.0048, 0.004, 0.0031, 0.005
0,1,0.0015, 0.0053, 0.0028, 0.0013
0,2,0.0085, 0.0088, 0.0007, 0.0068
0,3,0.0043, 0.0048, 0.0064, 0.0083
1,0,0.0018, 0, 0.0052, 0.0002
1,1,0.0017, 0.0019, 0.0012, 0.0083
1,2,0.0039, 0.0096, 0.0005, 0.0071
1,3,0.0058, 0.007, 0.0098, 0.0007
2,0,0.0009, 0.0031, 0.0055, 0.0022
2,1,0.0082, 0.0081, 0.0033, 0.0068
2,2,12.2738, 9.07069, 29.4453, 35.9502
2,3,14.7546, 10.9001, 35.4014, 43.2159
3,0,0, 0.0049, 0.0006, 0.0017
3,1,0.0066, 0.0016, 0, 0.0004
3,2,14.7484, 10.9003, 35.3998, 43.2218
3,3,23.0057, 17.0058, 55.2062, 67.4064
