x,y,beta, gamma, rx, ry
0,0,0.0044, 0.0067, 0.0071, 0.0001
0,1,0.0044, 0.0071, 0.0011, 0.0022
0,2,0.0025, 0.0084, 0.0043, 0.0095
0,3,0.0045, 0.007, 0.0005, 0.0018
0,4,0.0052, 0.0033, 0.0074, 0.0001
0,5,0.0062, 0.0002, 0.0045, 0.0036
0,6,0.0092, 0.0078, 0.0041, 0.0076
0,7,0.0061, 0.0093, 0, 0.0007
0,8,0.0061, 0.0069, 0.0006, 0.0004
0,9,0.0041, 0.0017, 0.0024, 0.0067
0,10,0, 0.0068, 0.0061, 0.0045
0,11,0.0039, 0.0067, 0.0061, 0.009
0,12,0.0098, 0.0034, 0.0091, 0.0059
0,13,0.0037, 0.0038, 0.0095, 0.0028
0,14,0.0015, 0.0037, 0.0003, 0.0075
1,0,0.0029, 0.0003, 0.0082, 0.009
1,1,0.0073, 0.0088, 0.0092, 0.0013
1,2,0.0004, 0.0017, 0.008, 0.0004
1,3,0.0083, 0.0043, 0.0049, 0.0022
1,4,0.0009, 0.0009, 0.0013, 0.0008
1,5,0.0044, 0.0005, 0.0067, 0.0079
1,6,0.0041, 0.0061, 0.0008, 0.0055
1,7,0.0096, 0.0012, 0.0031, 0.0026
1,8,0.0013, 0.0014, 0.0015, 0.0084
1,9,0.0001, 0.0006, 0.0098, 0.0005
1,10,0.0023, 0.0079, 0.0009, 0.0006
1,11,0.0021, 0.0056, 0.0028, 0.0028
1,12,0.0065, 0.0041, 0.0036, 0.0008
1,13,0.0044, 0.0002, 0.0087, 0.0086
1,14,0.0061, 0.0094, 0.004, 0.0058
2,0,0.0007, 0.0071, 0.0082, 0.0018
2,1,0.0083, 0.0097, 0.0004, 0.0084
2,2,0.0004, 0.0003, 0.0087, 0.0026
2,3,0.008, 0.0096, 0.0032, 0.0001
2,4,0.0051, 0.0058, 0.0029, 0.0015
2,5,0.0097, 0.0064, 0.0024, 0.0042
2,6,0.0064, 0.001, 0.0027, 0.0027
2,7,0.0003, 0.0067, 0.0083, 0.001
2,8,0.0037, 0.0067, 0.0027, 0.0021
2,9,0.0065, 0.0031, 0.0004, 0.0068
2,10,0.0032, 0.0091, 0.0094, 0.0011
2,11,0.0086, 0.0025, 0.001, 0.0038
2,12,0.0083, 0.0038, 0.0052, 0.0081
2,13,0.0001, 0.0074, 0.0022, 0.0065
2,14,0.0084, 0.005, 0.009, 0.0088
3,0,0.0016, 0.0075, 0.0096, 0.0054
3,1,0.0041, 0.0022, 0.0073, 0.0005
3,2,0.0053, 0.0078, 0.0073, 0.0083
3,3,0.007, 0.0068, 0.0093, 0.0058
3,4,0.0091, 0.0004, 0.0094, 0.0073
3,5,0.0042, 0.0047, 0.0053, 0.0043
3,6,0.002, 0.0076, 0.0008, 0.0006
3,7,0.0025, 0.0098, 0.0092, 0.0041
3,8,0.0072, 0.0087, 0.0093, 0.0014
3,9,0.0011, 0.0068, 0.002, 0.0062
3,10,0.0047, 0.0093, 0.0045, 0.0016
3,11,0.0061, 0.0039, 0.0072, 0.0051
3,12,0.0041, 0.0068, 0.0026, 0.0082
3,13,0.0014, 0.0079, 0.0026, 0.0035
3,14,0.0054, 0.0032, 0.0039, 0.0079
4,0,0.003, 0.003, 0.0022, 0.0003
4,1,0.0016, 0.0014, 0.0016, 0.0025
4,2,0.0082, 0.0034, 0.0088, 0.003
4,3,0.0026, 0.0032, 0.0045, 0.0085
4,4,0.0071, 0.0018, 0.0038, 0.0011
4,5,0.0084, 0.0062, 0.0093, 0.0097
4,6,0.0042, 0.0021, 0.0031, 0.0097
4,7,0.0051, 0.007, 0.0075, 0.0081
4,8,0.0098, 0.0095, 0.0083, 0.0015
4,9,0.0011, 0, 0.0041, 0.0093
4,10,0.0034, 0.0028, 0.0023, 0.006
4,11,0.006, 0.0068, 0.0047, 0.003
4,12,0.0084, 0.0083, 0.0041, 0.007
4,13,0.0046, 0.0036, 0.0068, 0.0086
4,14,0.0055, 0, 0.0084, 0.0005
5,0,0.0068, 0.0061, 0.0087, 0.0065
5,1,0.0057, 0.0071, 0.008, 0.0066
5,2,0.0069, 0.002, 0.0061, 0.0004
5,3,0.0046, 0.0082, 0.0062, 0.0005
5,4,0.0049, 0.0008, 0.0035, 0.0034
5,5,0.0089, 0.0075, 0.0005, 0.0036
5,6,0.001, 0.0071, 0.0024, 0.0063
5,7,0.0069, 0.0007, 0.0068, 0.0036
5,8,0.0066, 0.0056, 0.0002, 0.0025
5,9,0.0026, 0.0081, 0.0091, 0.0095
5,10,0.0002, 0.0051, 0.0097, 0.0047
5,11,0.0034, 0.0059, 0.0052, 0.0083
5,12,0.0067, 0.0086, 0.0017, 0.0058
5,13,0.006, 0.0022, 0.0092, 0.007
5,14,0.0092, 0.0017, 0.0034, 0.006
6,0,0.0025, 0.0001, 0.0095, 0.0089
6,1,0.0056, 0.0097, 0.0015, 0.0082
6,2,0.0079, 0.0006, 0.0077, 0.008
6,3,0.0055, 0.0075, 0.0026, 0.0088
6,4,0.0035, 0.0078, 0.0072, 0.0002
6,5,0.0063, 0.0089, 0.0058, 0.0024
6,6,0.0011, 0.0051, 0.0092, 0.0002
6,7,0.0067, 0.0027, 0.006, 0.009
6,8,0.0027, 0.0056, 0.008, 0.0083
6,9,0.0055, 0.0094, 0.0064, 0.0033
6,10,0.0098, 0.0042, 0.0012, 0.0054
6,11,0.0017, 0.0038, 0.0043, 0.005
6,12,0.0016, 0.0015, 0.0052, 0.0079
6,13,0.0003, 0.0009, 0.0003, 0.0014
6,14,0.0059, 0.0095, 0.0014, 0.0027
7,0,0.0022, 0.0075, 0.0018, 0.0049
7,1,0.0032, 0.0096, 0.0031, 0.0085
7,2,0.0091, 0.0095, 0.0018, 0.009
7,3,0.0037, 0.0028, 0.0044, 0.0054
7,4,0.0065, 0.0087, 0.0005, 0.0079
7,5,0.0001, 0.0056, 0.0057, 0.0005
7,6,0.0065, 0.006, 0.0017, 0.0025
7,7,0.0057, 0.0032, 0.005, 0.0079
7,8,0.0006, 0.0066, 0.0027, 0.0036
7,9,0.0064, 0.0058, 0.0021, 0.0054
7,10,0.0052, 0.0037, 0.0046, 0.0089
7,11,0.0065, 0.0088, 0.0044, 0.0029
7,12,0.0074, 0.0048, 0.0009, 0.0076
7,13,0.0005, 0.0067, 0.0081, 0.0068
7,14,0.0026, 0.0096, 0.0092, 0.0083
8,0,0.0029, 0.0043, 0.0061, 0.0033
8,1,0.0011, 0.0086, 0.007, 0.0073
8,2,0.0045, 0.0091, 0.0028, 0.0098
8,3,0.0029, 0.0072, 0.0088, 0.0092
8,4,0.0061, 0.0032, 0.0023, 0.0037
8,5,0.008, 0.003, 0.0014, 0.0083
8,6,0.0095, 0.0093, 0.0052, 0.0023
8,7,0.009, 0.0043, 0.0005, 0.0019
8,8,0.0087, 0.0065, 0.0052, 0.0096
8,9,0.0052, 0.0021, 0.0068, 0.0096
8,10,0.0013, 0.0096, 0.0095, 0.004
8,11,0.007, 0.0082, 0.0032, 0.0032
8,12,0.0013, 0.0053, 0.0067, 0.0093
8,13,0.0081, 0.0079, 0.0075, 0.0078
8,14,0.0073, 0.0029, 0, 0.0063
9,0,0.007, 0.0005, 0.0082, 0.0056
9,1,0.0068, 0.0033, 0.0051, 0.0022
9,2,0.0055, 0.002, 0.0017, 0.0066
9,3,0.0018, 0.0011, 0.0006, 0.0088
9,4,0.0093, 0.0038, 0.0019, 0.0006
9,5,0.0089, 0.0087, 0, 0.0071
9,6,0.0065, 0.0076, 0.0048, 0.004
9,7,0.0004, 0.0048, 0.0002, 0.0074
9,8,0.0052, 0.0084, 0.003, 0.0021
9,9,0.0016, 0.0081, 0.0041, 0.0071
9,10,0.0003, 0.0058, 0.0039, 0.0021
9,11,0.0069, 0.0045, 0.0008, 0.0062
9,12,0.0081, 0.0025, 0.0068, 0.0071
9,13,0.0011, 0.0066, 0.0041, 0.0077
9,14,0.0041, 0.009, 0.0018, 0.0045
10,0,0.0039, 0.0018, 0.0019, 0.0089
10,1,0.0003, 0.0047, 0.0012, 0.0019
10,2,0.0029, 0.0053, 0.0089, 0.0032
10,3,0.0011, 0.0027, 0.0051, 0.008
10,4,0.007, 0.0059, 0.0043, 0.005
10,5,0.0085, 0.001, 0.0022, 0.0096
10,6,0.0077, 0.0061, 0.0072, 0.0019
10,7,0.0052, 0.0088, 0.0063, 0.009
10,8,0.0007, 0.008, 0.008, 0.001
10,9,0.0028, 0.009, 0.0028, 0.0057
10,10,0.0045, 0.0016, 0.009, 0.0054
10,11,0.0043, 0.004, 0.0035, 0.0014
10,12,0.0001, 0.0077, 0.0064, 0.0084
10,13,0.0085, 0.0084, 0.0079, 0.0063
10,14,0.0044, 0.0053, 0.0081, 0.0095
11,0,0.0042, 0.0045, 0.0086, 0.005
11,1,0.0026, 0.0065, 0.0058, 0.0052
11,2,0.0057, 0.0084, 0.001, 0.0003
11,3,0.0001, 0.0098, 0.0055, 0.0042
11,4,0.004, 0.009, 0.0054, 0.0039
11,5,0.0066, 0.0017, 0.0022, 0.0053
11,6,0, 0.0002, 0.0015, 0.0045
11,7,0.0053, 0.0096, 0.0041, 0.0094
11,8,0.0042, 0.0026, 0.0045, 0.0066
11,9,0.0091, 0.0002, 0.0019, 0.0049
11,10,0.0087, 0.0028, 0.005, 0.0086
11,11,0.0027, 0.0006, 0.003, 0.0065
11,12,0.0095, 0.0082, 0.0003, 0.006
11,13,0.0001, 0.0025, 0.0014, 0.0098
11,14,0.0028, 0.0028, 0.0042, 0.0079
12,0,0.0025, 0.0081, 0.0074, 0.0068
12,1,0.0008, 0.002, 0.0033, 0.0001
12,2,0.0021, 0.0053, 0.0048, 0.0009
12,3,0.0079, 0, 0.0093, 0.0007
12,4,0.0006, 0.0022, 0.0071, 0
12,5,0.0006, 0.0074, 0.0061, 0.0005
12,6,0.0001, 0.0073, 0.0002, 0.0027
12,7,0.0002, 0.0045, 0.0005, 0.0028
12,8,0.0027, 0.008, 0.0094, 0.0036
12,9,0.0098, 0.0028, 0.0035, 0.002
12,10,0.0079, 0.0083, 0.0027, 0.0059
12,11,0.0081, 0.0022, 0.0065, 0.0086
12,12,0.0042, 0.0035, 0.0086, 0.0048
12,13,0.001, 0.0046, 0.0051, 0.0009
12,14,0.0021, 0.0052, 0.0034, 0.0023
13,0,0.0097, 0.004, 0.0049, 0.0025
13,1,0.0019, 0.0044, 0.0059, 0.0018
13,2,0.0071, 0.0092, 0.0037, 0.0049
13,3,0.0075, 0.0064, 0.0008, 0.0057
13,4,0.0084, 0.0071, 0.0042, 0.0028
13,5,0.0007, 0.003, 0.0074, 0.0015
13,6,0.0074, 0.0025, 0.0023, 0.0095
13,7,0.0077, 0.0057, 0.0018, 0.0075
13,8,0.0095, 0.0067, 0.0098, 0.0015
13,9,0.0011, 0.0057, 0.0032, 0.008
13,10,0.0048, 0.0069, 0.003, 0.0024
13,11,0.0034, 0.0036, 0.008, 0.002
13,12,0.0008, 0.0023, 0.0046, 0.0015
13,13,0.0051, 0.0021, 0.0029, 0.0027
13,14,0.0046, 0.0052, 0.0021, 0.0024
14,0,0.0008, 0.0039, 0.0097, 0.0005
14,1,0.0006, 0.0097, 0.0018, 0.0017
14,2,0.0053, 0.005, 0.0095, 0.0002
14,3,0.0018, 0.0026, 0.0027, 0.0053
14,4,0.0063, 0.0006, 0.0071, 0.0069
14,5,0.0029, 0.0018, 0.0085, 0.0079
14,6,0.0037, 0.0015, 0.0005, 0.0082
14,7,0.0065, 0.0026, 0.0007, 0.0073
14,8,0.0064, 0.0006, 0.0076, 0.007
14,9,0.0002, 0.0093, 0.0085, 0.0055
14,10,0.0042, 0.0081, 0.0055, 0.0061
14,11,0.0006, 0.0082, 0.0013, 0.0069
14,12,0.0088, 0.0082, 0.004, 0.0017
14,13,0.0098, 0.0024, 0.0094, 0.0036
14,14,0.0037, 0, 0.0019, 0.0003
