x,y,beta, gamma, rx, ry
0,0,100.275, 127.842, 335.325, 347.009
0,1,107.064, 126.408, 337.666, 316.386
0,2,115.413, 128.333, 341.205, 271.312
0,3,123.878, 127.664, 336.479, 231.395
0,4,133.689, 124.454, 321.479, 191.231
0,5,138.889, 129.554, 313.215, 155.184
1,0,104.609, 115.539, 319.275, 345.052
1,1,111.44, 113.324, 319.248, 316.368
1,2,116.485, 117.945, 327.364, 284.562
1,3,124.786, 122.226, 329.099, 236.976
1,4,131.54, 120.152, 321.588, 209.381
1,5,136.434, 123.355, 316.545, 179.585
2,0,102.293, 110.711, 307.596, 361.529
2,1,110.334, 104.11, 302.975, 333.341
2,2,117, 106.822, 311.013, 299.793
2,3,124.55, 111.654, 317.087, 257.321
2,4,132.353, 111.571, 312.928, 222.469
2,5,137.824, 111.282, 306.327, 198.494
3,0,98.9146, 102.577, 287.294, 383.026
3,1,106.316, 94.8611, 281.709, 359.102
3,2,115.293, 95.4393, 290.372, 321.552
3,3,126.107, 98.7608, 298.919, 271.257
3,4,131.922, 99.8456, 299.71, 245.027
3,5,137.183, 98.9815, 295.999, 224.325
4,0,95.8815, 96.1329, 269.054, 398.205
4,1,103.028, 91.9792, 271.239, 373.664
4,2,113.705, 86.9028, 272.504, 335.716
4,3,125.308, 87.1258, 280.371, 290.488
4,4,133.939, 88.2643, 281.814, 255.142
4,5,138.864, 89.6841, 282.834, 233.391
5,0,94.4786, 86.2235, 245.875, 405.086
5,1,101.028, 84.0035, 251.729, 383.501
5,2,112.353, 79.2862, 256.453, 346.057
5,3,124.532, 78.2934, 264.595, 303.219
5,4,133.517, 79.9938, 269.374, 268.23
5,5,140.1, 80.5583, 268.613, 243.546
