x,y,r,g,b
0,0,1.63075, 1.28451, 5.2696, 1.85885
0,1,2.2704, 1.78747, 7.33344, 2.59196
0,2,3.03675, 2.39231, 9.82235, 3.47707
0,3,3.84098, 3.02129, 12.4147, 4.38645
0,4,4.48544, 3.52351, 14.5045, 5.12056
0,5,4.73836, 3.71849, 15.317, 5.4119
0,6,4.48931, 3.52787, 14.5013, 5.12782
0,7,3.84254, 3.02352, 12.4142, 4.38538
0,8,3.04027, 2.39085, 9.81873, 3.46817
0,9,2.2701, 1.78216, 7.33472, 2.59639
0,10,1.6264, 1.28461, 5.26861, 1.8632
0,11,0.0039, 0.0067, 0.0061, 0.009
0,12,0.0098, 0.0034, 0.0091, 0.0059
0,13,0.0037, 0.0038, 0.0095, 0.0028
0,14,0.0015, 0.0037, 0.0003, 0.0075
1,0,2.1002, 1.64821, 6.79447, 2.40583
1,1,3.04145, 2.39271, 9.82714, 3.46905
1,2,4.24897, 3.33982, 13.755, 4.85592
1,3,5.64714, 4.4349, 18.2515, 6.44688
1,4,6.868, 5.39647, 22.2213, 7.84892
1,5,7.38489, 5.79961, 23.8882, 8.44259
1,6,6.87104, 5.40141, 22.2209, 7.85339
1,7,5.64839, 4.43193, 18.2497, 6.44726
1,8,4.24985, 3.33953, 13.7487, 4.86367
1,9,3.0344, 2.38468, 9.82773, 3.46827
1,10,2.09961, 1.65569, 6.78728, 2.39755
1,11,0.0021, 0.0056, 0.0028, 0.0028
1,12,0.0065, 0.0041, 0.0036, 0.0008
1,13,0.0044, 0.0002, 0.0087, 0.0086
1,14,0.0061, 0.0094, 0.004, 0.0058
2,0,2.55759, 2.01597, 8.28147, 2.92395
2,1,3.84468, 3.02391, 12.4146, 4.39286
2,2,5.63956, 4.43107, 18.2551, 6.44726
2,3,7.97309, 6.2677, 25.7773, 9.10358
2,4,10.3693, 8.14899, 33.5396, 11.8467
2,5,11.52, 9.05034, 37.249, 13.1594
2,6,10.3705, 8.14454, 33.5394, 11.8478
2,7,7.96583, 6.26496, 25.7821, 9.10443
2,8,5.64272, 4.43721, 18.2493, 6.44678
2,9,3.84293, 3.01749, 12.4146, 4.39131
2,10,2.56005, 2.01793, 8.28265, 2.92326
2,11,0.0086, 0.0025, 0.001, 0.0038
2,12,0.0083, 0.0038, 0.0052, 0.0081
2,13,0.0001, 0.0074, 0.0022, 0.0065
2,14,0.0084, 0.005, 0.009, 0.0088
3,0,2.90523, 2.2888, 9.40483, 3.32376
3,1,4.48437, 3.52245, 14.5044, 5.12095
3,2,6.87218, 5.40303, 22.227, 7.85605
3,3,10.3711, 8.14991, 33.5455, 11.8506
3,4,14.9425, 11.7345, 48.3317, 17.0744
3,5,17.9567, 14.1101, 58.0956, 20.5215
3,6,14.9362, 11.7409, 48.3241, 17.0684
3,7,10.3669, 8.15269, 33.5454, 11.8491
3,8,6.87399, 5.40388, 22.2289, 7.84949
3,9,4.48147, 3.5269, 14.4992, 5.12646
3,10,2.90827, 2.29056, 9.39984, 3.32004
3,11,0.0061, 0.0039, 0.0072, 0.0051
3,12,0.0041, 0.0068, 0.0026, 0.0082
3,13,0.0014, 0.0079, 0.0026, 0.0035
3,14,0.0054, 0.0032, 0.0039, 0.0079
4,0,3.03724, 2.38703, 9.8203, 3.46807
4,1,4.73392, 3.71965, 15.3142, 5.41084
4,2,7.38849, 5.80236, 23.8902, 8.43795
4,3,11.5135, 9.04741, 37.2509, 13.1634
4,4,17.9592, 14.1075, 58.0943, 20.5187
4,5,28.0067, 22.005, 90.6074, 32.0078
4,6,17.9567, 14.1078, 58.0936, 20.5262
4,7,11.5158, 9.05089, 37.2537, 13.163
4,8,7.39, 5.80814, 23.8898, 8.43653
4,9,4.73344, 3.71829, 15.3166, 5.41741
4,10,3.03763, 2.38684, 9.82039, 3.47365
4,11,0.006, 0.0068, 0.0047, 0.003
4,12,0.0084, 0.0083, 0.0041, 0.007
4,13,0.0046, 0.0036, 0.0068, 0.0086
4,14,0.0055, 0, 0.0084, 0.0005
5,0,2.91032, 2.28742, 9.40395, 3.32484
5,1,4.48592, 3.52719, 14.505, 5.12685
5,2,6.8737, 5.39751, 22.2259, 7.84854
5,3,10.3689, 8.15121, 33.5426, 11.8457
5,4,14.9387, 11.7349, 48.3265, 17.0709
5,5,17.9608, 14.1125, 58.0914, 20.5209
5,6,14.9353, 11.7405, 48.3255, 17.0735
5,7,10.371, 8.14427, 33.5432, 11.8486
5,8,6.87342, 5.40094, 22.2203, 7.85054
5,9,4.48292, 3.52816, 14.5061, 5.12966
5,10,2.90386, 2.28645, 9.40493, 3.32308
5,11,0.0034, 0.0059, 0.0052, 0.0083
5,12,0.0067, 0.0086, 0.0017, 0.0058
5,13,0.006, 0.0022, 0.0092, 0.007
5,14,0.0092, 0.0017, 0.0034, 0.006
6,0,2.55936, 2.0091, 8.28274, 2.93092
6,1,3.84205, 3.02391, 12.4156, 4.39267
6,2,5.64675, 4.43135, 18.2541, 6.45245
6,3,7.97074, 6.26572, 25.7767, 9.11178
6,4,10.3678, 8.15084, 33.5436, 11.8454
6,5,11.5169, 9.05264, 37.2521, 13.1578
6,6,10.3656, 8.14834, 33.5454, 11.8454
6,7,7.97187, 6.26119, 25.7799, 9.11197
6,8,5.64176, 4.43615, 18.2544, 6.45273
6,9,3.84196, 3.02362, 12.4204, 4.3879
6,10,2.56653, 2.01312, 8.2746, 2.92748
6,11,0.0017, 0.0038, 0.0043, 0.005
6,12,0.0016, 0.0015, 0.0052, 0.0079
6,13,0.0003, 0.0009, 0.0003, 0.0014
6,14,0.0059, 0.0095, 0.0014, 0.0027
7,0,2.09951, 1.6553, 6.78817, 2.40179
7,1,3.03744, 2.39349, 9.82118, 3.47609
7,2,4.25741, 3.34739, 13.749, 4.86425
7,3,5.64272, 4.43347, 18.251, 6.44995
7,4,6.87332, 5.40388, 22.2206, 7.85567
7,5,7.38081, 5.80444, 23.8873, 8.43558
7,6,6.87332, 5.40132, 22.2217, 7.85054
7,7,5.64464, 4.43385, 18.2515, 6.45235
7,8,4.24917, 3.34458, 13.7498, 4.85902
7,9,3.04057, 2.38977, 9.8202, 3.47306
7,10,2.10246, 1.65156, 6.79093, 2.40573
7,11,0.0065, 0.0088, 0.0044, 0.0029
7,12,0.0074, 0.0048, 0.0009, 0.0076
7,13,0.0005, 0.0067, 0.0081, 0.0068
7,14,0.0026, 0.0096, 0.0092, 0.0083
8,0,1.62927, 1.28214, 5.26861, 1.86201
8,1,2.26715, 1.78894, 7.33924, 2.59698
8,2,3.03871, 2.393, 9.82088, 3.47736
8,3,3.83943, 3.02148, 12.4227, 4.39364
8,4,4.48631, 3.52341, 14.4995, 5.12404
8,5,4.7401, 3.72119, 15.314, 5.41645
8,6,4.4896, 3.52932, 14.5023, 5.12269
8,7,3.84536, 3.01866, 12.4147, 4.38654
8,8,3.04282, 2.39046, 9.82323, 3.47717
8,9,2.27119, 1.78255, 7.33905, 2.59924
8,10,1.62769, 1.28738, 5.27197, 1.8627
8,11,0.007, 0.0082, 0.0032, 0.0032
8,12,0.0013, 0.0053, 0.0067, 0.0093
8,13,0.0081, 0.0079, 0.0075, 0.0078
8,14,0.0073, 0.0029, 0, 0.0063
9,0,1.21559, 0.950153, 3.91899, 1.38687
9,1,1.63313, 1.28115, 5.26762, 1.86092
9,2,2.10276, 1.64988, 6.78807, 2.40346
9,3,2.55867, 2.01008, 8.27401, 2.93082
9,4,2.91277, 2.28517, 9.39729, 3.31906
9,5,3.04301, 2.39261, 9.81814, 3.47472
9,6,2.91003, 2.28889, 9.40013, 3.32239
9,7,2.5573, 2.01371, 8.27361, 2.92944
9,8,2.10246, 1.65618, 6.78935, 2.39903
9,9,1.62799, 1.28589, 5.26663, 1.86577
9,10,1.20895, 0.955407, 3.91473, 1.3834
9,11,0.0069, 0.0045, 0.0008, 0.0062
9,12,0.0081, 0.0025, 0.0068, 0.0071
9,13,0.0011, 0.0066, 0.0041, 0.0077
9,14,0.0041, 0.009, 0.0018, 0.0045
10,0,0.0039, 0.0018, 0.0019, 0.0089
10,1,0.0003, 0.0047, 0.0012, 0.0019
10,2,0.0029, 0.0053, 0.0089, 0.0032
10,3,0.0011, 0.0027, 0.0051, 0.008
10,4,0.007, 0.0059, 0.0043, 0.005
10,5,0.0085, 0.001, 0.0022, 0.0096
10,6,0.0077, 0.0061, 0.0072, 0.0019
10,7,0.0052, 0.0088, 0.0063, 0.009
10,8,0.0007, 0.008, 0.008, 0.001
10,9,0.0028, 0.009, 0.0028, 0.0057
10,10,0.0045, 0.0016, 0.009, 0.0054
10,11,0.0043, 0.004, 0.0035, 0.0014
10,12,0.0001, 0.0077, 0.0064, 0.0084
10,13,0.0085, 0.0084, 0.0079, 0.0063
10,14,0.0044, 0.0053, 0.0081, 0.0095
11,0,0.0042, 0.0045, 0.0086, 0.005
11,1,0.0026, 0.0065, 0.0058, 0.0052
11,2,0.0057, 0.0084, 0.001, 0.0003
11,3,0.0001, 0.0098, 0.0055, 0.0042
11,4,0.004, 0.009, 0.0054, 0.0039
11,5,0.0066, 0.0017, 0.0022, 0.0053
11,6,0, 0.0002, 0.0015, 0.0045
11,7,0.0053, 0.0096, 0.0041, 0.0094
11,8,0.0042, 0.0026, 0.0045, 0.0066
11,9,0.0091, 0.0002, 0.0019, 0.0049
11,10,0.0087, 0.0028, 0.005, 0.0086
11,11,0.0027, 0.0006, 0.003, 0.0065
11,12,0.0095, 0.0082, 0.0003, 0.006
11,13,0.0001, 0.0025, 0.0014, 0.0098
11,14,0.0028, 0.0028, 0.0042, 0.0079
12,0,0.0025, 0.0081, 0.0074, 0.0068
12,1,0.0008, 0.002, 0.0033, 0.0001
12,2,0.0021, 0.0053, 0.0048, 0.0009
12,3,0.0079, 0, 0.0093, 0.0007
12,4,0.0006, 0.0022, 0.0071, 0
12,5,0.0006, 0.0074, 0.0061, 0.0005
12,6,0.0001, 0.0073, 0.0002, 0.0027
12,7,0.0002, 0.0045, 0.0005, 0.0028
12,8,0.0027, 0.008, 0.0094, 0.0036
12,9,0.0098, 0.0028, 0.0035, 0.002
12,10,0.0079, 0.0083, 0.0027, 0.0059
12,11,0.0081, 0.0022, 0.0065, 0.0086
12,12,0.0042, 0.0035, 0.0086, 0.0048
12,13,0.001, 0.0046, 0.0051, 0.0009
12,14,0.0021, 0.0052, 0.0034, 0.0023
13,0,0.0097, 0.004, 0.0049, 0.0025
13,1,0.0019, 0.0044, 0.0059, 0.0018
13,2,0.0071, 0.0092, 0.0037, 0.0049
13,3,0.0075, 0.0064, 0.0008, 0.0057
13,4,0.0084, 0.0071, 0.0042, 0.0028
13,5,0.0007, 0.003, 0.0074, 0.0015
13,6,0.0074, 0.0025, 0.0023, 0.0095
13,7,0.0077, 0.0057, 0.0018, 0.0075
13,8,0.0095, 0.0067, 0.0098, 0.0015
13,9,0.0011, 0.0057, 0.0032, 0.008
13,10,0.0048, 0.0069, 0.003, 0.0024
13,11,0.0034, 0.0036, 0.008, 0.002
13,12,0.0008, 0.0023, 0.0046, 0.0015
13,13,0.0051, 0.0021, 0.0029, 0.0027
13,14,0.0046, 0.0052, 0.0021, 0.0024
14,0,0.0008, 0.0039, 0.0097, 0.0005
14,1,0.0006, 0.0097, 0.0018, 0.0017
14,2,0.0053, 0.005, 0.0095, 0.0002
14,3,0.0018, 0.0026, 0.0027, 0.0053
14,4,0.0063, 0.0006, 0.0071, 0.0069
14,5,0.0029, 0.0018, 0.0085, 0.0079
14,6,0.0037, 0.0015, 0.0005, 0.0082
14,7,0.0065, 0.0026, 0.0007, 0.0073
14,8,0.0064, 0.0006, 0.0076, 0.007
14,9,0.0002, 0.0093, 0.0085, 0.0055
14,10,0.0042, 0.0081, 0.0055, 0.0061
14,11,0.0006, 0.0082, 0.0013, 0.0069
14,12,0.0088, 0.0082, 0.004, 0.0017
14,13,0.0098, 0.0024, 0.0094, 0.0036
14,14,0.0037, 0, 0.0019, 0.0003
